DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
1-Dec-25,EQ,272.45,272.45,268.75,269.95,269.9,269.65,270.04,336.25,247.3,10428760,"2,81,62,31,287.95",130049
28-Nov-25,EQ,273.8,274.35,269.45,273.7,270,269.95,270.75,345.4,247.3,12580231,"3,40,60,79,261.85",92273
27-Nov-25,EQ,277,277,273.3,275.05,273.95,273.7,274.3,345.4,247.3,9865039,"2,70,59,71,497.90",98121
26-Nov-25,EQ,274,276.95,273.5,273.45,274.4,275.05,275.02,345.4,247.3,8352869,"2,29,72,08,061.60",68826
25-Nov-25,EQ,275,276.9,272.65,275.8,272.65,273.45,274.42,345.4,247.3,12114606,"3,32,44,41,144.55",96719
24-Nov-25,EQ,278,279.05,272.5,277.6,275.5,275.8,275.68,345.4,247.3,49791096,"13,72,63,54,637.65",90160
21-Nov-25,EQ,277.2,279,275.4,277.2,277.6,277.6,277.44,345.4,247.3,12941485,"3,59,05,06,464.10",66807
20-Nov-25,EQ,275.25,279.05,274.5,275.15,277.2,277.2,277.63,345.4,247.3,15337345,"4,25,81,44,268.00",99778
19-Nov-25,EQ,275.95,276,272.5,274.2,275.2,275.15,274.52,345.4,247.3,15765235,"4,32,78,52,099.15",77562
18-Nov-25,EQ,274,276.8,272.3,273.55,274.15,274.2,274.68,345.4,247.3,16434280,"4,51,41,13,376.70",80036
17-Nov-25,EQ,272.1,273.95,270,271.3,273.7,273.55,272.71,345.4,247.3,9884392,"2,69,55,98,656.90",89984
14-Nov-25,EQ,270.35,272.3,269.5,269.85,270.9,271.3,270.89,345.4,247.3,10308317,"2,79,24,07,887.20",127366
13-Nov-25,EQ,267.1,270.45,265.65,267.1,270.4,269.85,269.01,345.4,247.3,12573141,"3,38,22,60,843.95",90099
12-Nov-25,EQ,269,270.25,266.5,267.65,266.85,267.1,268.51,345.4,247.3,16444701,"4,41,56,08,549.10",126273
11-Nov-25,EQ,268.25,269.15,264.65,268.2,268.15,267.65,266.82,345.4,247.3,11154806,"2,97,62,86,054.60",99964
10-Nov-25,EQ,268.6,270.55,266.55,272,268.35,268.2,268.98,345.4,247.3,10717941,"2,88,28,73,871.40",95966
7-Nov-25,EQ,270.2,272.8,268.75,270.2,271.75,272,271.43,345.4,247.3,11379131,"3,08,86,18,810.90",79210
6-Nov-25,EQ,278,278.5,269.85,279.05,270.25,270.2,271.71,345.4,247.3,21919591,"5,95,58,61,818.00",150603
4-Nov-25,EQ,284.5,284.95,278.1,288,278.8,279.05,279.88,345.4,247.3,26098629,"7,30,44,30,312.40",132753
3-Nov-25,EQ,289,290.15,287.15,288.15,288,288,288.7,345.4,247.3,8578207,"2,47,65,68,754.50",67955
